epoch,accuracy,loss,val_accuracy,val_loss
0,0.9166801571846008,0.1997136012160726,0.6994228959083557,0.7655200006776877
1,0.9749229550361633,0.07712896873556586,0.7013465762138367,2.0950302171699415
2,0.9793264865875244,0.06482076677292041,0.7040350437164307,6.166389568806811
3,0.9797204732894897,0.06390400774944262,0.9750620126724243,0.07791718890425584
4,0.9817368388175964,0.05747599007320613,0.7004658579826355,2.981207825724384
5,0.9819454550743103,0.05495382444600866,0.9068996906280518,0.2796221798560876
6,0.9844716787338257,0.04899925621771383,0.5854172706604004,3.2610453565358246
7,0.984865665435791,0.04744573588123582,0.7071638703346252,1.4795280886386575
8,0.9862794876098633,0.04475265052421673,0.7100609540939331,1.2186680879946985
9,0.9866271018981934,0.04145487243665811,0.9420121908187866,0.17926439428266197
10,0.986233115196228,0.04149253761571858,0.9687811732292175,0.09228947287071018
11,0.987067461013794,0.04027032619418834,0.7043595314025879,1.6964564380671834
12,0.9871833324432373,0.03843284366535768,0.7051706910133362,1.5623177301124738
13,0.9868820309638977,0.04028113311879767,0.6281317472457886,1.637611071195962
14,0.9872992038726807,0.03835877328907338,0.638630747795105,1.6499398823565983
15,0.9880176782608032,0.03764766656122386,0.5711637139320374,3.263346684916474
16,0.9875773787498474,0.038137441524807913,0.7322409152984619,0.6455543243084086
17,0.9876700639724731,0.03781641448647448,0.9897791147232056,0.031064505037595377
18,0.9878323078155518,0.03636861733864644,0.9466475248336792,0.14183940017850113
19,0.9877859354019165,0.037285675201040515,0.9268315434455872,0.2340707287850597
20,0.9886666536331177,0.0355408672326847,0.9727675318717957,0.08169921284343899
21,0.9883885383605957,0.03462825623728418,0.9753401279449463,0.07628887849169501
22,0.9878091216087341,0.03624019526557291,0.9561035633087158,0.13609983584552116
23,0.9885970950126648,0.03465638347102181,0.7580133080482483,0.5227279153213216
24,0.989060640335083,0.03329651603430597,0.9897559285163879,0.02902889404415495
